test_name,library,max,mean,median,min,stddev,warmup,iterations,useBigInt64,promoteValues,promoteLongs,checkKeys,ignoreUndefined
long_array_1000._deserialize,bson@6.2.0,78.38804319940971,73.95937707014686,75.30364855316354,25.379135016932445,5.915765445349151,1000,1000,0,1,1,-,-
long_array_1000._deserialize,bson@6.2.0,79.45843434371376,75.94511936448208,77.4345624560968,25.706845099222182,6.039745686440382,1000,1000,1,-,-,-,-
long_array_1000._serialize,bson@6.2.0,37.16024459140663,36.036580165217416,36.33365901425569,26.73878650035252,0.7881300026446572,1000,1000,-,-,-,1,0
long_array_1000._deserialize,bson@5.5.1,77.23672098094362,72.22063486069464,74.38692669983527,25.561297000455806,7.774742468605111,1000,1000,0,0,0,-,-
long_array_1000._deserialize,bson@5.5.1,78.28190702816586,73.85834973288306,75.26895552006091,26.222159070010115,5.919055659594831,1000,1000,0,1,1,-,-
long_array_1000._deserialize,bson@5.5.1,79.35077289407161,75.8573923685348,77.30042562199768,25.810135935781354,6.081745682115204,1000,1000,1,-,-,-,-
long_array_1000._serialize,bson@5.5.1,37.44564102186133,36.30022040478804,36.58779800698177,27.111386487428856,0.8062264495488665,1000,1000,-,-,-,1,0
long_array_1000._deserialize,bson@4.7.2,76.76852220513315,70.62426535332911,73.28054618540568,17.41196657178736,8.206748362152231,1000,1000,0,0,0,-,-
long_array_1000._deserialize,bson@4.7.2,76.37996602449752,72.39110097792299,73.61805450600995,25.232687220119654,5.374368549019429,1000,1000,0,1,1,-,-
long_array_1000._deserialize,bson@4.7.2,77.60633457622232,74.05031555868679,75.40601587765178,26.51683249021136,5.7126554301801775,1000,1000,1,-,-,-,-
long_array_1000._serialize,bson@4.7.2,48.60459352917365,47.21799060202584,47.50255423005818,12.917782253494158,1.713332663182002,1000,1000,-,-,-,1,0
long_array_1000._deserialize,bson-ext@4.0.2,48.73949835313466,47.38204648125758,48.25775305767523,20.981064345793605,3.111154895209479,1000,1000,-,1,1,-,-
long_array_1000._deserialize,bson-ext@4.0.2,26.000083386837428,24.541113430718003,24.87441605668394,10.494043743883951,1.8827714293355888,1000,1000,-,0,0,-,-
long_array_1000._serialize,bson-ext@4.0.2,45.02718467657942,44.211251027683744,44.771202223746485,13.720142361139496,1.5162432967635047,1000,1000,-,-,-,1,0
long_array_100._deserialize,bson@6.2.0,68.95069770584095,64.62438796176028,65.86288261797122,3.8271447477305625,5.900263656222059,1000,1000,0,0,0,-,-
long_array_100._deserialize,bson@6.2.0,69.5781518859861,63.31934292484553,66.13674456327854,3.1588431736326803,6.8438507188701205,1000,1000,0,1,1,-,-
long_array_100._deserialize,bson@6.2.0,71.44124622433395,65.07075342198512,67.91556229655185,3.3908179184913796,6.935186907054307,1000,1000,1,-,-,-,-
long_array_100._serialize,bson@6.2.0,31.384376302090917,29.923846736672758,30.695122136003274,1.4191390835057647,2.3682206813854925,1000,1000,-,-,-,1,0
long_array_100._deserialize,bson@5.5.1,69.36160453071102,64.92330408977239,66.18312445592902,3.6266575699429087,6.1020855238526,1000,1000,0,0,0,-,-
long_array_100._deserialize,bson@5.5.1,70.07596591937582,63.135572106893136,65.86288261797122,2.864951391262094,6.83433533106747,1000,1000,0,1,1,-,-
long_array_100._deserialize,bson@5.5.1,71.19433730381017,64.75784976617516,67.70658753564791,3.209329578345198,7.156399350492819,1000,1000,1,-,-,-,-
long_array_100._serialize,bson@5.5.1,31.136092113306578,29.78460019424546,30.558465584776584,1.380697749957699,2.326325358210479,1000,1000,-,-,-,1,0
long_array_100._deserialize,bson@4.7.2,67.92412264766904,63.46825820840811,64.62773872983601,3.6290505637416426,5.604618944671844,1000,1000,0,0,0,-,-
long_array_100._deserialize,bson@4.7.2,69.96605824920022,63.28330869960894,66.08783585807885,2.9808637087414276,6.92394547310933,1000,1000,0,1,1,-,-
long_array_100._deserialize,bson@4.7.2,69.82608116597042,63.95933638721476,66.60859458000846,3.749918255922978,6.830332525656673,1000,1000,1,-,-,-,-
long_array_100._serialize,bson@4.7.2,39.502135180583345,37.37609679051543,38.78011255298609,21.64245636119746,2.791815612924893,1000,1000,-,-,-,1,0
long_array_100._deserialize,bson-ext@4.0.2,36.89410675985059,34.911048313801935,36.015434354629825,3.2897968002139133,2.9991366313375076,1000,1000,-,1,1,-,-
long_array_100._deserialize,bson-ext@4.0.2,21.32914170818629,20.66456385081253,21.007467167673767,2.6887479004049357,1.3916237691435211,1000,1000,-,0,0,-,-
long_array_100._serialize,bson-ext@4.0.2,32.56416506751719,30.8329870778294,31.99394051407814,1.5983344383292621,2.608002482208535,1000,1000,-,-,-,1,0
